id,area_name,Households,00_10K,10_15K,15_25K,25_35K,35_50K,50_75K,75_100K,100_150K,150_200K,200K_UP,with_internet,dialup_internet,any_broadband,with_cellular_broadband,only_cellular_broadband,cable_broadband,satellite_broadband,no_internet,Population,Hispanic_Latino,Black,White,Asian
1400000US48113016523,"Census Tract 165.23, Dallas County, Texas",1719,0.026000000000000002,0.01,0.07400000000000001,0.052000000000000005,0.131,0.071,0.158,0.2,0.146,0.131,0.9159999999999999,0.0,0.9159999999999999,0.672,0.11599999999999999,0.7909999999999999,0.08,0.084,4735,0.209,0.261,0.391,0.076
1400000US48113016605,"Census Tract 166.05, Dallas County, Texas",2893,0.209,0.142,0.20600000000000002,0.131,0.14800000000000002,0.09,0.05,0.013000000000000001,0.008,0.004,0.523,0.0,0.523,0.282,0.129,0.355,0.018000000000000002,0.47700000000000004,7801,0.455,0.44799999999999995,0.076,0.011000000000000001
1400000US48113016606,"Census Tract 166.06, Dallas County, Texas",2953,0.05,0.026000000000000002,0.055,0.10800000000000001,0.24600000000000002,0.22699999999999998,0.175,0.063,0.034,0.018000000000000002,0.8740000000000001,0.0,0.8740000000000001,0.6940000000000001,0.13,0.7140000000000001,0.087,0.126,7316,0.226,0.63,0.11900000000000001,0.006999999999999999
1400000US48113016607,"Census Tract 166.07, Dallas County, Texas",2002,0.187,0.096,0.21,0.21100000000000002,0.18899999999999997,0.068,0.013999999999999999,0.024,0.0,0.0,0.48700000000000004,0.0,0.48700000000000004,0.35,0.136,0.32799999999999996,0.019,0.513,3704,0.091,0.8540000000000001,0.018000000000000002,0.011000000000000001
1400000US48113016610,"Census Tract 166.10, Dallas County, Texas",1931,0.07400000000000001,0.08800000000000001,0.09300000000000001,0.13,0.159,0.185,0.106,0.11199999999999999,0.015,0.039,0.745,0.004,0.741,0.57,0.185,0.495,0.11599999999999999,0.255,4523,0.159,0.7190000000000001,0.098,0.006999999999999999
1400000US48113016611,"Census Tract 166.11, Dallas County, Texas",2231,0.031,0.011000000000000001,0.027999999999999997,0.113,0.145,0.21100000000000002,0.226,0.16399999999999998,0.052000000000000005,0.019,0.848,0.005,0.843,0.599,0.16699999999999998,0.6629999999999999,0.042,0.152,6212,0.225,0.632,0.094,0.0
1400000US48113016612,"Census Tract 166.12, Dallas County, Texas",4247,0.019,0.0,0.039,0.02,0.073,0.21100000000000002,0.18,0.322,0.105,0.031,0.883,0.0,0.883,0.579,0.057,0.7879999999999999,0.095,0.11699999999999999,14373,0.153,0.7,0.127,0.009000000000000001
1400000US48113016615,"Census Tract 166.15, Dallas County, Texas",1279,0.057999999999999996,0.005,0.08199999999999999,0.023,0.138,0.204,0.212,0.151,0.102,0.026000000000000002,0.888,0.015,0.873,0.629,0.14300000000000002,0.7,0.07,0.11199999999999999,4335,0.251,0.5720000000000001,0.09699999999999999,0.024
1400000US48113016616,"Census Tract 166.16, Dallas County, Texas",1945,0.053,0.045,0.045,0.047,0.124,0.22699999999999998,0.183,0.162,0.076,0.037000000000000005,0.912,0.0,0.912,0.659,0.128,0.7709999999999999,0.047,0.08800000000000001,7097,0.257,0.5489999999999999,0.11900000000000001,0.016
1400000US48113016617,"Census Tract 166.17, Dallas County, Texas",1533,0.005,0.013000000000000001,0.055,0.079,0.067,0.1,0.147,0.245,0.168,0.11900000000000001,0.935,0.0,0.935,0.688,0.006999999999999999,0.873,0.204,0.065,4145,0.091,0.677,0.171,0.026000000000000002
1400000US48113016618,"Census Tract 166.18, Dallas County, Texas",1719,0.034,0.016,0.099,0.067,0.098,0.276,0.163,0.21,0.025,0.011000000000000001,0.816,0.0,0.816,0.5529999999999999,0.08800000000000001,0.6940000000000001,0.067,0.184,4939,0.15,0.633,0.19399999999999998,0.0
1400000US48113016619,"Census Tract 166.19, Dallas County, Texas",1447,0.026000000000000002,0.064,0.125,0.183,0.196,0.19,0.11800000000000001,0.059000000000000004,0.039,0.0,0.7509999999999999,0.006999999999999999,0.7440000000000001,0.557,0.187,0.545,0.034,0.249,3794,0.182,0.713,0.1,0.0
1400000US48113016620,"Census Tract 166.20, Dallas County, Texas",1895,0.032,0.031,0.065,0.061,0.066,0.17600000000000002,0.21,0.23199999999999998,0.085,0.042,0.943,0.005,0.938,0.706,0.1,0.813,0.11900000000000001,0.057,5571,0.14800000000000002,0.6729999999999999,0.156,0.0
